car,model,price,year,mileage,location
Toyota Prius,Four,18900,2014,33769,40202
Toyota Prius,Four,18000,2014,24318,40202
Toyota Prius,Five,15995,2014,50601,40202
Toyota Prius,Two,15893,2015,34312,40202
Toyota Prius,Two,15500,2014,36927,40202
Toyota Prius,Two,15500,2014,45250,40202
Toyota Prius,Two,15450,2015,37303,40202
Toyota Prius,Three,14765,2013,71302,40202
Toyota Prius,Two,11985,2011,63891,40202
Toyota Prius,Four ,29980,2016,7755,40202
Toyota Prius,Four,28000,2016,3405,40202
Toyota Prius,None,26500,2016,18103,40202
Toyota Prius,None ,25822,2016,0,40202
Toyota Prius,Three,25822,2016,5335,40202
Toyota Prius,Five,22860,2014,22280,40202
Toyota Prius,Two,21986,2016,19756,40202
Toyota Prius,Two,20974,2016,9376,40202
Toyota Prius,Two,20974,2016,10082,40202
Toyota Prius,Two,20000,2016,10114,40202
Toyota Prius,Four,19800,2014,30472,40202
Toyota Prius,Two,19486,2015,10731,40202
Toyota Prius,Two,18999,2014,36784,40202
Toyota Prius,Three,18977,2014,26222,40202
Toyota Prius,Three,18900,2013,18889,40202
Toyota Prius,Four,18360,2014,38222,40202
Toyota Prius,Four,17999,2015,38322,40202
Toyota Prius,Two,17999,2015,30960,40202
Toyota Prius,None,17988,2014,12118,40202
Toyota Prius,Three,17950,2013,29950,40202
Toyota Prius,Two,17900,2015,17685,40202
Toyota Prius,Four,17599,2014,46044,40202
Toyota Prius,Three,17560,2013,26714,40202
Toyota Prius,Two,17385,2014,33326,40202
Toyota Prius,Three,17325,2013,33695,40202
Toyota Prius,Three,17260,2014,28111,40202
Toyota Prius,Two,16999,2013,33938,40202
Toyota Prius,Two,16987,2014,33192,40202
Toyota Prius,Four,16985,2013,37700,40202
Toyota Prius,Two,16960,2014,23442,40202
Toyota Prius,Three,16595,2013,21288,40202
Toyota Prius,Two,21950,2016,6255,Atlanta
Toyota Prius,Two,20887,2016,9997,Atlanta
Toyota Prius,Four,19998,2013,30322,Atlanta
Toyota Prius,Four,18800,2014,46219,Atlanta
Toyota Prius,Five,18499,2015,31579,Atlanta
Toyota Prius,Two,17999,2016,21740,Atlanta
Toyota Prius,Two,17979,2016,18295,Atlanta
